NAME,DESCRIPTION
"BAC-Controles - Pagos enviados que no figuran en ERP_MOVIMIENTO","Controles - Pagos enviados que no figuran en ERP_MOVIMIENTO"
"BAC-Controles - Pagos sin respuesta de Presea","Controles - Pagos sin respuesta de Presea"
"BAC-Controles - Usuarios enviados a Presea que nunca volvieron con OK","Controles - Usuarios enviados a Presea que nunca volvieron con OK"
"BAC-Devengamiento - Detalle",devengamiento
"BAC-Devengamiento - Resumen",devengamiento
"BAC-Configuracion - Procesos","Configuracion de los horarios de los procesos"
"BAC-Pines - Consumos Resumido","Pines - Consumos Resumido"
"BAC-Pines - Ventas por día (administración)","Pines - Ventas por día (administración)"
"BAC-Envio Mails - Pagos acreditados a MG en el día ","Pagos acreditados a MG en el día "
"BAC-Cuenta Corriente - Mercado Pago montos y cantidades por estado de pagos","Cuenta Corriente - Mercado Pago montos y cantidades por estado de pagos por producto"
"BAC-Cuenta Corriente - Listado de Ventas por producto","Cuenta Corriente - Listado de Ventas por producto"
"BAC-Log - Mails enviados","Log - Mails enviados"
"BAC-Pines - Consumos","Pines - Consumos"
"BAC-Pines - Estados de pines por retailer","Pines - Estados de pines por retailer"
"BAC-Pines - Exportacion de pines","Pines - Exportacion de pines para Excel"
"BAC-Pines - Historia de un paquete","Pines - Historia de un paquete"
"BAC-Pines - Historia de un pin","Pines - Historia de un pin"
"BAC-Cuenta Corriente - Resumen de Pagos","Cuenta Corriente - Resumen de Pagos por portal"
"BAC-Configuraciones - Portales","Configuraciones - Portales"
"BAC-Pines - Listado de paquetes por retailer","Pines - Listado de paquetes por retailer"
"BAC-Configuraciones - Monedas","Configuraciones - Monedas"
"BAC-Log - Errores en el quemado de pines","Log - Errores en el quemado de pines"
"BAC-Log - Business Exceptions","Log - Business Exceptions"
"BAC-Log - Procesos","Log - Procesos"
"BAC-Pines - Listado de pines","Pines - Listado de pines"
"BAC-Pines - Listado de retailes","Pines - Listado de retailers"
"BAC-Pines - Ventas por día","Pines - Ventas por día"
"BAC-Productos - Lista de precios","Productos - Lista de precios"
"BAC-Usuarios - Listado de usuarios","Usuarios - Listado de usuarios"
"BAC-Configuraciones - IVA","Configuraciones - IVA"
"BAC-Configuraciones - Paises","Configuraciones - Paises"
"BAC-Configuraciones - Procesos croneados","Configuraciones - Procesos croneados"
"BAC-Configuraciones - Productos","Configuraciones - Productos"
"BAC-Configuraciones - Tipos de clientes","Configuraciones - Tipos de clientes"
"BAC-Controles - Cargos sin respuesta de Presea","Controles - Cargos sin respuesta de Presea"
"BAC-Configuraciones - Mail Templates","Configuraciones - Mail Templates"
"BAC-Clientes - Listado de clientes","Clientes - Listado de clientes"
"BAC-Configuraciones - Carriers","Configuraciones - Carriers"
"BAC-Configuraciones - Condicion ante el IVA","Configuraciones - Condicion ante el IVA"
"BAC-Configuraciones - Empresas","Configuraciones - Empresas"
"BAC-Configuraciones - Estados de paquetes de pines","Configuraciones - Estados de paquetes de pines"
"BAC-Configuraciones - Estados de pines","Configuraciones - Estados de pines"
"BAC-Configuraciones - Mail Estados","Configuraciones - Mail Estados"
"BAC-Configuraciones - Provincias","Configuraciones - Provincias"
"BAC-Cuenta Corriente - Listado de cargos","Cuenta Corriente - Listado de cargos"
"BAC-Controles - Cargos enviados que no figuran en ERP_MOVIMIENTO","Controles - Cargos enviados que no figuran en ERP_MOVIMIENTO"
"BAC-Controles - Usuarios con mas de 1 pago en el dia","Usuarios con mas de un pago acreditado, generado en el mismo dia"
prueba_diego,
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ","Cuenta Corriente - Listado de pagos"
"Mundo Gaturro - Pagos acreditados a MG en el día","Pagos acreditados a MG en el día "
